,id,smiles,kras_spr,perk_ic50,binding_ic50,selfies
10,11,CCN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,4.9,,1078.2,[C][C][N][C@H1][Branch2][Branch1][#Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][C][C][C][Ring2][Ring2][Branch1]
11,12,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@H]3N(Cc4ccccc4)CCC3)c2F)c1,11,,4905.2,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Branch1][#Branch2][C][=Branch2][Ring2][P][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C@H1][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][N][C][=Ring2][Ring1][N][F][=C][Ring2][Ring2][O]
12,13,CN(C)C(CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1)=O,510.7,,,[C][N][Branch1][C][C][C][Branch2][Branch1][O][C][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][=O]
13,14,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3ccccc33)cc(O)c3Br)c3F)c3n2)CCC1,5.1,73.9,4843.5,[C][N][C@H1][Branch2][Branch1][=N][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][=N][C][=N][C][Branch2][Ring1][Branch1][C][=Branch1][=Branch2][=C][C][=C][C][=C][C][Ring1][=Branch1][C][=C][Branch1][C][O][C][=Ring1][Branch1][Br][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][#C][C][C][C][Ring2][Ring2][=Branch1]
14,15,Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@H]4N(C)CCC4)c3F)cccc2ccc1,208.5,260.3,>16666.7,[C][C][=C][C][Branch2][Branch1][C][C][=Branch2][Ring2][=Branch2][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C@H1][N][Branch1][C][C][C][C][C][Ring1][=Branch1][C][=Ring2][Ring1][=Branch1][F][=C][C][=C][C][Ring2][Ring1][P][=C][C][=C][Ring2][Ring2][Branch1]
15,16,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1F,31.3,54.1,3834.5,[C][N][Branch1][C][C][C@H1][Branch2][Branch1][#Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][C][C@H1][Ring2][Ring2][Ring2][F]
16,17,C[C@H](CN(C)C)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,2209.6,666.2,,[C][C@H1][Branch1][#Branch1][C][N][Branch1][C][C][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C]
17,18,CN(C)CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,3.1,76.8,3742.5,[C][N][Branch1][C][C][C][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C]
18,19,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4)cccc3ccc4F)c3F)c3n2)CCC1,664.8,122,>16666.7,[C][N][C@H1][Branch2][Branch1][#Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=Branch1][Ring1][=C][C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Ring1][Branch2][F][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][C][C][C][Ring2][Ring2][Branch1]
19,20,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4ccccc34)c3F)c3n2)CCC1,967,691.8,,[C][N][C@H1][Branch2][Branch1][=Branch1][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][=Branch1][C][=N][C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=N][C][C][C][Ring2][Ring2][Ring2]
20,21,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CCCC4)c4ccc3)c3F)c3n2)CCC1,447.5,262.9,,[C][N][C@H1][Branch2][Branch1][Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][P][C][=C][Branch1][Branch1][C][C][C][C][C][Ring1][C][=C][C][=C][Ring1][#Branch2][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=N][C][C][C][Ring2][Ring2][Ring2]
